Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"DILITHIUM_2",0.001220,0.098080,0.081320,0.025960,0.001090,0.099420,0.100720,0.026880,0.000950,0.095160,0.092900,0.026340,0.000920,0.094670,0.091980,0.026380,0.001060,0.095920,0.089230,0.029070,0.000600,0.094310,0.120030,0.055840,0.001070,0.099980,0.404900,0.339290,0.002200,0.109050,3.241990,3.163550,0.005090,0.124740,31.989150,31.859590,0.005670,0.133990,335.610680,335.149390,
"DILITHIUM_3",0.000550,0.109700,0.140350,0.038110,0.000560,0.108640,0.135250,0.037880,0.000580,0.106960,0.140710,0.037950,0.000610,0.114470,0.134000,0.040170,0.000570,0.110470,0.146270,0.041990,0.000680,0.108050,0.165730,0.069040,0.001130,0.111920,0.437050,0.348760,0.001770,0.117420,3.263160,3.172780,0.005110,0.140660,32.059850,31.939240,0.008460,0.139280,335.435780,334.836940,
"DILITHIUM_4",0.002480,0.126330,0.138350,0.055360,0.002130,0.124620,0.144860,0.054680,0.002230,0.124030,0.138530,0.053700,0.002190,0.122980,0.140400,0.054340,0.002190,0.123270,0.137910,0.057080,0.000720,0.123470,0.190350,0.085410,0.001150,0.138830,0.454190,0.370130,0.001980,0.131960,3.283300,3.190840,0.005410,0.154670,32.066240,31.920760,0.010040,0.153550,335.079510,334.330310,
"Falcon-512",0.001780,12.880760,3.873420,0.040760,0.001450,13.116940,3.832850,0.039960,0.001370,12.178750,3.829370,0.040310,0.001500,12.882400,3.857240,0.040690,0.001500,12.778480,3.850310,0.043770,0.001600,12.167410,3.878420,0.072410,0.001650,12.947460,4.169880,0.356920,0.002410,12.700430,7.007640,3.180530,0.005270,13.467110,35.800390,31.838740,0.006250,13.307890,339.126850,335.198600,
"Falcon-1024",0.002600,38.079870,8.255100,0.078520,0.002460,39.843710,8.276350,0.078590,0.002210,37.999200,8.235150,0.078960,0.002140,37.638390,8.258700,0.079140,0.002200,39.587970,8.247720,0.081610,0.002330,39.346190,8.300770,0.111130,0.002380,35.394530,8.572210,0.393820,0.002800,36.641320,11.439670,3.213600,0.005390,37.466610,40.203650,31.952190,0.006310,35.222570,343.522570,335.098130,
"Rainbow-Ia-Cyclic",0.004590,87.109450,1.117890,1.245720,0.003910,87.374260,1.113660,1.253310,0.003740,87.513320,1.109780,1.250940,0.003180,87.063520,1.115090,1.245470,0.012630,87.229610,1.102790,1.252720,0.013580,87.395120,1.129260,1.263140,0.005780,87.212090,1.190700,1.298300,0.003280,87.381620,1.709330,1.749550,0.005570,87.187240,6.519310,6.506290,0.016240,87.589160,71.377090,70.739680,
