Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"SPHINCS+-SHA256-128f-robust",0.003500,1.524700,37.050900,2.867300,0.002600,1.521400,37.044300,2.876600,0.002400,1.522000,37.021300,2.809200,0.002200,1.520300,36.923100,2.859600,0.002800,1.526300,37.031800,2.875500,0.002200,1.522600,36.925700,2.892500,0.002300,1.524100,37.113200,2.922400,0.002400,1.523100,38.088000,3.487900,0.006600,1.548800,49.342000,9.377300,0.008000,1.561200,180.975800,88.384400,
"SPHINCS+-SHA256-128f-simple",0.003000,0.849100,19.975200,1.507200,0.001800,0.844300,19.893400,1.506900,0.001900,0.844400,19.892500,1.499500,0.002400,0.849300,19.944500,1.545600,0.001800,0.840200,19.896600,1.522400,0.002100,0.840100,19.923400,1.510100,0.002200,0.842700,20.024300,1.553700,0.002400,0.840500,21.124300,2.118400,0.006000,0.873600,32.303000,8.029300,0.008200,0.873900,163.479800,86.882500,
"SPHINCS+-SHA256-128s-robust",0.006000,93.121700,707.827300,0.986100,0.005600,93.107700,708.092800,0.970400,0.005700,93.118700,707.843700,0.965800,0.004700,93.163900,707.864000,0.989900,0.004600,93.077600,708.005100,0.974800,0.004100,93.122100,708.045100,0.987100,0.003900,93.138200,708.151800,1.039900,0.005300,93.067200,709.243800,1.631100,0.006400,93.151500,720.329300,7.532800,0.009100,93.563600,851.557500,86.579200,
"SPHINCS+-SHA256-128s-simple",0.005000,49.812800,378.046800,0.533100,0.004100,49.725300,377.972200,0.533500,0.004600,49.710200,378.035200,0.534400,0.004700,49.764600,378.028100,0.540100,0.005000,49.743400,378.000400,0.540000,0.003900,49.740500,377.948600,0.542800,0.004300,49.737100,378.025900,0.607100,0.004700,49.736200,379.216900,1.187800,0.006700,49.822400,390.500500,7.096700,0.009100,50.009300,522.641200,86.013300,
"SPHINCS+-SHA256-192f-robust",0.003900,2.197200,60.245800,4.367300,0.003000,2.189200,60.166000,4.390500,0.002500,2.161200,60.102900,4.367800,0.002400,2.162600,60.222500,4.354600,0.002400,2.165800,60.147000,4.337400,0.002000,2.159500,60.119400,4.348100,0.002200,2.164000,60.317300,4.408500,0.002300,2.167400,61.421600,4.983900,0.007100,2.185400,72.617900,10.838900,0.008200,2.195500,203.980800,89.822300,
"SPHINCS+-SHA256-192f-simple",0.002600,1.164500,32.301800,2.241100,0.002200,1.168100,32.286300,2.236900,0.002000,1.160900,32.253400,2.236000,0.002100,1.165200,32.251600,2.209100,0.002100,1.161400,32.240200,2.232800,0.002100,1.162100,32.222100,2.248800,0.002200,1.164400,32.304500,2.307700,0.002200,1.163400,33.428300,2.859600,0.006300,1.188000,44.659800,8.740100,0.007800,1.203500,176.281300,87.679400,
"SPHINCS+-SHA256-192s-robust",0.005700,135.243300,1328.275500,1.514100,0.005100,135.148400,1327.404100,1.518800,0.004900,135.085400,1327.167400,1.531800,0.004400,134.914200,1326.420200,1.519000,0.004300,135.036200,1326.503700,1.497400,0.004400,135.146500,1328.484200,1.515400,0.004400,135.067600,1328.552800,1.590900,0.004500,135.161600,1328.480400,2.174400,0.006100,135.121900,1341.378100,8.102100,0.007500,134.998800,1473.008700,86.929300,
"SPHINCS+-SHA256-192s-simple",0.004600,70.145900,714.365200,0.778400,0.004400,70.035800,713.951000,0.768100,0.003800,70.063300,713.875100,0.774200,0.003900,70.051900,713.909800,0.751100,0.004300,70.089600,713.973100,0.774800,0.003700,70.032600,713.764900,0.770900,0.004000,70.029100,713.965800,0.861200,0.004400,70.034900,715.018600,1.431800,0.006300,70.100500,726.200200,7.357500,0.007600,70.667000,861.834000,86.265800,
"SPHINCS+-SHA256-256f-robust",0.003300,11.499700,235.215900,4.782900,0.003100,11.497300,235.219800,4.795800,0.003000,11.495800,235.377500,4.757300,0.002700,11.495700,235.300300,4.803000,0.002400,11.494200,235.386200,4.789400,0.003100,11.502100,235.319400,4.814200,0.003100,11.508500,235.474500,4.913800,0.003300,11.514500,236.562200,5.412800,0.006800,11.537300,247.712600,11.365500,0.008100,11.552000,379.017600,90.204400,
"SPHINCS+-SHA256-256f-simple",0.002800,2.891300,62.228700,2.281700,0.002600,2.891300,62.182700,2.311500,0.002500,2.886100,62.128100,2.347500,0.002500,2.888800,62.100200,2.335900,0.002100,2.886500,62.097400,2.306800,0.002200,2.884600,62.154900,2.310800,0.002400,2.885600,62.280400,2.370300,0.002300,2.890300,63.389600,2.910600,0.006500,2.919500,74.776600,8.814800,0.007700,2.951600,206.071900,87.763900,
"SPHINCS+-SHA256-256s-robust",0.005900,183.281100,2166.344800,2.441400,0.005800,183.197200,2165.054200,2.445800,0.005200,183.186600,2164.492800,2.437300,0.005400,183.196600,2165.225100,2.436200,0.005100,183.189000,2165.561300,2.418800,0.004900,183.276200,2165.322900,2.479400,0.004900,183.207700,2165.328000,2.540700,0.005400,183.216100,2166.395000,3.096700,0.006500,183.206400,2177.428900,9.030600,0.007900,183.534500,2309.891200,87.960100,
"SPHINCS+-SHA256-256s-simple",0.004600,45.175700,587.716800,1.138000,0.004300,45.037500,587.239800,1.133200,0.004600,45.060800,587.567000,1.124600,0.004600,45.055800,587.310700,1.114400,0.004000,45.033000,587.136300,1.112500,0.004000,45.052000,587.362200,1.145300,0.004200,45.062500,587.312300,1.193600,0.004900,45.086100,588.493100,1.783800,0.006900,45.125900,599.862700,7.696000,0.008200,45.226500,731.861800,86.634800,
"SPHINCS+-SHAKE256-128f-robust",0.005000,3.369900,85.025800,10.589700,0.004400,3.390500,84.973300,10.374400,0.005300,3.397900,84.874800,10.555400,0.005600,5.537800,83.790600,10.207000,0.005600,5.506600,83.554600,10.378200,0.005100,3.499100,83.651600,12.480100,0.004800,3.306300,86.791600,11.136000,0.005000,3.381800,96.009600,15.933300,0.006400,3.411900,187.215300,62.267900,0.008200,3.772800,1112.451900,540.031300,
"SPHINCS+-SHAKE256-128f-simple",0.005500,3.159300,47.576200,5.324000,0.005600,3.219100,47.549500,5.335700,0.005500,3.216800,47.564800,5.284300,0.005300,3.214700,47.722000,5.209100,0.005200,3.116000,47.917400,5.252200,0.004600,2.002200,47.868700,6.550600,0.004100,1.909700,48.718700,5.998500,0.004600,1.913800,58.464100,10.823100,0.006000,1.926800,149.580100,56.970200,0.007700,2.092800,1074.663100,533.923100,
"SPHINCS+-SHAKE256-128s-robust",0.006800,210.064400,1597.385900,3.891000,0.006500,209.964900,1596.911000,3.812400,0.006600,210.160200,1596.892600,3.929100,0.006500,210.158000,1596.660400,3.887000,0.005600,210.126500,1597.531000,3.983400,0.006400,209.795000,1597.229100,4.147400,0.005100,209.660100,1598.687300,4.393700,0.005300,209.326900,1603.165800,8.971500,0.042700,209.631700,1679.612000,54.860600,0.007500,209.645100,2623.016300,531.353400,
"SPHINCS+-SHAKE256-128s-simple",0.006800,115.794600,884.723200,2.078900,0.007100,115.921100,884.312300,2.000000,0.006200,116.165700,884.954400,2.007400,0.006000,116.201000,885.420600,2.038500,0.006100,115.776300,884.764700,2.044300,0.012100,113.454100,886.182000,4.316300,0.019300,113.060500,887.972400,2.514600,0.017400,113.209300,896.145100,7.157700,0.021600,114.739800,978.691500,53.041900,0.008100,113.526900,1913.043500,529.010800,
"SPHINCS+-SHAKE256-192f-robust",0.006700,5.443500,139.377200,15.102500,0.006700,5.571000,139.490700,15.226800,0.006200,5.559700,139.344800,15.235200,0.005800,5.581800,139.235100,15.235900,0.006200,5.518900,138.637800,15.327100,0.005900,5.339800,138.916500,15.395900,0.121500,4.831400,139.874300,16.201200,0.125400,4.837900,149.222100,21.011400,0.128200,4.828500,239.257000,67.348500,0.009500,5.602900,1166.057000,541.944400,
"SPHINCS+-SHAKE256-192f-simple",0.007700,4.772000,76.561900,7.716400,0.007100,4.888100,76.320900,7.672900,0.007000,4.907000,76.132200,7.744200,0.005900,4.859000,76.128800,7.723000,0.006400,4.664600,76.316800,7.710200,0.006600,3.036900,76.462900,10.090400,0.107400,2.675700,78.678400,8.874500,0.107600,2.686100,87.825800,13.577500,0.108200,2.673900,178.061700,59.659500,0.008900,3.126700,1103.138000,537.835800,
"SPHINCS+-SHAKE256-192s-robust",0.007300,306.926700,2744.232100,5.536200,0.006800,306.135000,2732.910900,5.542400,0.006700,305.946300,2732.800000,5.424300,0.005700,307.128700,2759.999600,5.502100,0.006400,308.300700,2785.895700,5.630900,0.006400,304.839300,2737.798600,5.924500,0.074000,303.566600,2729.402900,6.175500,0.073100,303.035600,2718.837100,10.723400,0.076600,304.459600,2864.626600,56.558700,0.008600,307.326600,3794.593300,533.340000,
"SPHINCS+-SHAKE256-192s-simple",0.007100,166.054400,1539.714600,2.924600,0.007200,166.141100,1539.336300,2.961600,0.006800,166.365200,1539.426100,2.962000,0.006100,166.367000,1539.249100,2.956200,0.005900,165.810600,1561.462400,2.880600,0.005600,165.072300,1529.315900,3.329400,0.037200,165.696900,1517.285400,3.402700,0.036100,163.389500,1557.967900,7.952600,0.040500,164.821600,1617.838200,53.605000,0.008800,164.182300,2577.510300,529.243000,
"SPHINCS+-SHAKE256-256f-robust",0.006900,13.640500,267.862100,15.789800,0.007900,13.039200,268.408100,16.336500,0.007600,12.882400,268.517700,15.903600,0.005800,12.890100,268.706000,15.893900,0.006200,12.886600,268.502400,16.231400,0.006300,12.877900,260.310700,16.046800,0.077700,12.561300,262.825400,16.567700,0.088600,12.544200,270.258200,21.302500,0.083200,12.518500,360.945600,67.442600,0.008900,12.879800,1287.003900,543.243500,
"SPHINCS+-SHAKE256-256f-simple",0.006800,7.454800,146.861600,8.295900,0.006700,7.447100,147.792700,8.354200,0.006100,7.465100,147.739200,8.363800,0.005800,7.486700,147.956200,8.362900,0.007100,7.407100,147.900600,8.435200,0.005300,7.308600,146.073700,8.582500,0.109800,6.958800,146.546100,9.139800,0.099500,6.951000,154.147900,13.654600,0.118500,6.962600,246.274500,59.560800,0.008500,7.434400,1173.036700,535.294700,
"SPHINCS+-SHAKE256-256s-robust",0.007000,201.674000,2347.508300,7.992900,0.007000,201.356700,2346.271600,8.096600,0.006600,201.402600,2342.023200,8.079600,0.005900,200.966800,2331.750300,8.054600,0.006400,200.307800,2323.563200,8.028800,0.006600,200.505600,2332.196400,8.928500,0.111200,200.254500,2309.972600,8.680100,0.113100,198.151300,2312.967300,13.349200,0.118300,197.958300,2403.257600,59.056400,0.008700,198.681600,3333.390300,534.714000,
"SPHINCS+-SHAKE256-256s-simple",0.007100,109.309600,1327.553000,4.244000,0.006800,107.716500,1328.820800,4.195000,0.006900,107.455400,1328.759500,4.245200,0.006100,107.597500,1328.481900,4.303900,0.006000,107.512100,1333.865200,4.157500,0.006300,109.100300,1324.642900,4.578400,0.057300,108.609000,1321.401500,4.841700,0.057200,108.406900,1324.242000,9.441200,0.059000,108.602700,1422.562500,55.119400,0.008300,108.313000,2358.675100,531.570600,
