Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"DILITHIUM_2",0.000900,0.098600,0.105390,0.028330,0.001180,0.098030,0.093340,0.027600,0.001250,0.097390,0.088250,0.027080,0.001100,0.097030,0.109790,0.027670,0.001230,0.099540,0.107750,0.030680,0.000630,0.097140,0.120360,0.059230,0.001080,0.100190,0.413690,0.345660,0.001830,0.105470,3.253700,3.193340,0.004950,0.126890,31.971390,31.893090,0.006260,0.133150,336.039170,335.680080,
"DILITHIUM_3",0.000770,0.109040,0.135850,0.038650,0.000630,0.109690,0.138220,0.038540,0.000820,0.107280,0.143330,0.037510,0.000560,0.108250,0.134530,0.038770,0.000590,0.108530,0.124020,0.040930,0.000640,0.109140,0.173640,0.069360,0.001160,0.110970,0.455570,0.353360,0.001840,0.122230,3.280160,3.195970,0.005800,0.140190,32.078360,31.940530,0.008980,0.143420,336.127510,335.972700,
"DILITHIUM_4",0.002310,0.125050,0.131760,0.054340,0.002230,0.125260,0.140940,0.053800,0.001980,0.124250,0.148260,0.053400,0.002120,0.126750,0.150150,0.054820,0.002300,0.129550,0.144830,0.059000,0.000740,0.123150,0.164050,0.085770,0.001170,0.127250,0.447770,0.368540,0.001960,0.132470,3.281630,3.213450,0.005290,0.153790,32.033080,31.894030,0.011040,0.160920,335.902200,335.312360,
"Falcon-512",0.001780,13.130320,3.857070,0.041070,0.001750,13.635720,3.867270,0.040680,0.001470,12.874440,3.864820,0.040990,0.001520,13.264680,3.857550,0.040980,0.001630,12.578620,3.879140,0.044290,0.001730,13.417300,3.907940,0.073650,0.001830,12.518550,4.221390,0.357630,0.002200,12.653840,7.035750,3.199810,0.005170,12.959870,35.859210,32.008460,0.007000,13.327460,339.994460,336.046790,
"Falcon-1024",0.002620,38.818040,8.261810,0.079620,0.002630,37.159710,8.252710,0.079060,0.002440,36.671350,8.279070,0.078730,0.002260,38.165140,8.280360,0.079850,0.002590,37.529420,8.269180,0.082880,0.002310,35.376550,8.326200,0.112290,0.002450,38.227160,8.576990,0.393420,0.003050,38.372650,11.480680,3.243000,0.005610,35.997850,40.269270,31.953670,0.006720,39.665620,344.244760,335.784930,
"Rainbow-Ia-Cyclic",0.003900,87.377740,1.148000,1.260150,0.004080,87.489720,1.107590,1.255780,0.003840,87.442580,1.140480,1.254430,0.003410,87.442110,1.095140,1.252060,0.013210,87.669440,1.133590,1.252410,0.013060,87.515750,1.144680,1.258700,0.005570,87.592220,1.213610,1.306210,0.003490,87.723040,1.704030,1.754990,0.005460,87.491960,6.538070,6.481330,0.015930,87.670030,70.963550,70.897980,
"Rainbow-Ia-Classic",0.013700,78.986830,1.111980,1.108190,0.013050,78.947950,1.137290,1.115320,0.013010,78.808480,1.104380,1.105970,0.012480,78.899680,1.117190,1.108500,0.012490,79.032190,1.122350,1.114590,0.012510,78.954280,1.141680,1.115090,0.010410,78.953180,1.191850,1.169120,0.003410,78.954590,1.720690,1.603580,0.005640,78.790580,6.564720,6.362430,0.007520,79.043670,71.022590,70.577950,
"Rainbow-Vc-Cyclic",0.020070,3157.310080,18.972490,22.399940,0.024020,3157.555160,18.961780,22.365820,0.023770,3157.100570,18.910900,22.347230,0.023240,3156.012760,18.947280,22.375700,0.023760,3152.310710,18.889260,22.326690,0.023020,3154.748640,18.982350,22.361340,0.023480,3154.120910,19.020770,22.433710,0.020980,3153.897320,20.176800,23.475980,0.007040,3153.241500,30.761200,33.727040,0.015360,3155.112250,149.796280,153.071870,
