Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"DILITHIUM_2",0.002240,0.099720,0.105260,0.028550,0.001420,0.110670,0.111780,0.029970,0.001170,0.105580,0.102460,0.028210,0.001160,0.098240,0.102110,0.027850,0.001120,0.096910,0.102340,0.030240,0.000700,0.097070,0.133120,0.058650,0.001050,0.100960,0.411020,0.341750,0.001930,0.105990,3.238560,3.177340,0.005000,0.126650,31.926470,31.797400,0.005820,0.130620,335.962780,336.431290,
"DILITHIUM_3",0.000880,0.127460,0.141350,0.040830,0.000810,0.119350,0.134220,0.040990,0.000730,0.111090,0.154340,0.039860,0.000750,0.112730,0.133920,0.041190,0.000790,0.114590,0.160580,0.043980,0.000690,0.109910,0.153510,0.071050,0.001150,0.113730,0.458090,0.355800,0.003410,0.165830,3.744270,3.596750,0.005750,0.147230,33.113760,33.032820,0.006710,0.149310,337.923900,337.535660,
"DILITHIUM_4",0.000990,0.124030,0.144900,0.054180,0.000770,0.124700,0.145710,0.054040,0.000670,0.123560,0.142350,0.053920,0.000620,0.123600,0.145520,0.054530,0.000650,0.125260,0.144270,0.057220,0.000790,0.123510,0.175620,0.086360,0.001150,0.128140,0.449620,0.372110,0.002000,0.137950,3.303510,3.220220,0.005240,0.156280,32.195710,32.079540,0.010140,0.159060,336.158690,335.751980,
"Falcon-512",0.001860,13.395330,3.870070,0.041370,0.001700,12.849030,3.857520,0.040480,0.001350,12.634580,3.837320,0.040380,0.001600,13.036300,3.855210,0.041380,0.001500,12.561800,3.871480,0.043880,0.001690,14.190580,3.882940,0.071860,0.001800,13.571420,4.180090,0.355830,0.002400,13.586230,7.023670,3.180800,0.005000,12.917070,35.836870,31.920040,0.006230,13.410460,340.102330,336.177800,
"Falcon-1024",0.002720,37.072350,8.267350,0.079220,0.002570,36.370140,8.266920,0.079140,0.002290,34.906370,8.242520,0.079520,0.002270,37.849570,8.245020,0.078200,0.002210,38.584860,8.220260,0.081670,0.002500,34.040110,8.286250,0.111310,0.002660,38.668710,8.601110,0.395360,0.003110,37.351930,11.502950,3.250040,0.005500,36.180820,40.146160,31.928880,0.006430,35.876280,344.447160,336.204570,
"Rainbow-Ia-Cyclic",0.004120,87.505400,1.103510,1.250460,0.003940,87.467220,1.112000,1.255460,0.003780,87.549900,1.108060,1.256170,0.003500,87.610820,1.115440,1.255380,0.012970,87.590300,1.126530,1.259430,0.013160,87.378010,1.126590,1.257740,0.005980,87.344750,1.198920,1.304210,0.003470,87.412740,1.699170,1.754230,0.005400,87.246930,6.490980,6.480140,0.016330,87.583770,71.025460,70.902670,
"Rainbow-Ia-Classic",0.013450,78.843880,1.130740,1.104530,0.012990,78.562300,1.118510,1.110000,0.012750,78.551240,1.111340,1.103260,0.013380,78.742990,1.117800,1.116020,0.012550,78.741100,1.134370,1.109570,0.012410,78.638900,1.128970,1.105390,0.010690,78.757080,1.191900,1.160720,0.003510,78.411760,1.692930,1.601720,0.005850,78.778390,6.546160,6.339660,0.006990,78.715650,70.729420,70.472370,
"Rainbow-Vc-Cyclic",0.020880,3154.900260,18.938460,22.345970,0.023950,3153.528900,18.913010,22.308410,0.023470,3153.798060,18.937120,22.334260,0.022970,3153.269090,18.920560,22.323950,0.023240,3152.244530,18.911060,22.310760,0.022750,3153.814710,18.916780,22.304600,0.023890,3157.989610,19.132200,22.472770,0.020170,3159.808810,20.285690,23.470450,0.006820,3156.908010,30.676750,33.724110,0.014480,3156.845430,149.772900,153.077250,
