Same Time (ms),Diff Time (ms),
0.000567,0.000576,
0.000622,0.000550,
0.000613,0.000562,
0.000560,0.000584,
0.000576,0.000548,
0.000618,0.000544,
0.000604,0.000575,
0.000578,0.000531,
0.000548,0.000519,
0.000579,0.000556,
