Same Time (ms),Diff Time (ms),
0.001613,0.000923,
0.001598,0.000920,
0.001565,0.000900,
0.001585,0.000892,
0.001660,0.000892,
0.001590,0.000916,
0.001645,0.000908,
0.001603,0.000891,
0.001578,0.000868,
0.001587,0.000876,
