Same Time (ms),Diff Time (ms),
0.002261,0.001053,
0.002295,0.001024,
0.002283,0.001044,
0.002290,0.001042,
0.002304,0.001048,
0.002301,0.001061,
0.002257,0.001078,
0.002334,0.001075,
0.002229,0.001044,
0.002257,0.001090,
