Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"DILITHIUM_2",0.000970,0.097140,0.094850,0.027770,0.001020,0.100420,0.099890,0.028570,0.001120,0.098860,0.090650,0.027780,0.000990,0.097680,0.102080,0.027850,0.001280,0.099560,0.100990,0.031180,0.000710,0.098140,0.133180,0.059460,0.001100,0.101850,0.417250,0.345560,0.002660,0.113720,3.310030,3.238250,0.005570,0.133350,32.584750,32.499050,0.006650,0.134780,341.877050,341.925440,
"DILITHIUM_3",0.000680,0.121720,0.135160,0.041870,0.000670,0.115840,0.159880,0.040200,0.000550,0.112300,0.128550,0.040360,0.000670,0.110790,0.148400,0.039380,0.000630,0.111760,0.143050,0.042340,0.000810,0.111430,0.190570,0.071500,0.001190,0.115050,0.460590,0.358440,0.002540,0.124950,3.352970,3.261370,0.005680,0.145310,32.666950,32.536680,0.009400,0.148250,342.106280,342.003240,
"DILITHIUM_4",0.002350,0.128000,0.128070,0.055390,0.002330,0.127600,0.139920,0.055500,0.002100,0.125010,0.129010,0.054650,0.002420,0.127740,0.145030,0.055040,0.002200,0.126960,0.142700,0.058740,0.000750,0.125710,0.170740,0.086900,0.001210,0.150210,0.469780,0.379020,0.003200,0.145480,3.385590,3.286220,0.005740,0.159390,32.630710,32.565670,0.011700,0.162980,342.307610,342.128320,
"Falcon-512",0.002490,12.520830,3.954580,0.041930,0.003030,12.102480,4.003480,0.043310,0.002450,13.170680,3.965550,0.043160,0.002440,13.618160,3.963600,0.043490,0.002380,12.913610,3.967310,0.046220,0.002360,13.546050,3.992700,0.075140,0.002320,13.084880,4.273440,0.360760,0.003290,12.114380,7.198830,3.277080,0.006160,13.780780,36.402850,32.488950,0.006860,13.680210,346.083460,341.946680,
"Falcon-1024",0.003370,40.267600,8.484000,0.081520,0.003260,40.356130,8.416180,0.081530,0.002770,39.301690,8.425320,0.081050,0.002780,34.875270,8.438770,0.081850,0.002760,38.205990,8.438560,0.084800,0.002810,37.055470,8.481610,0.114690,0.003010,37.825170,8.813080,0.406250,0.003540,38.510500,11.693090,3.309460,0.006390,42.098660,40.946520,32.510070,0.006830,39.750090,350.209690,342.061180,
"Rainbow-Ia-Cyclic",0.004310,89.238050,1.130060,1.280970,0.004400,89.222670,1.135900,1.286270,0.004200,89.417030,1.133770,1.288940,0.003700,89.319110,1.132330,1.286790,0.015980,89.276340,1.129370,1.287700,0.015020,89.378770,1.176420,1.299990,0.007460,89.536980,1.204480,1.340910,0.003830,89.467710,1.731480,1.796600,0.006690,89.468350,6.613180,6.675380,0.017170,89.433950,72.508470,72.470320,
"Rainbow-Ia-Classic",0.014400,80.802970,1.147470,1.140250,0.014280,80.500650,1.149380,1.139750,0.014420,80.418610,1.146140,1.136590,0.013080,80.557440,1.147470,1.140250,0.015210,80.828230,1.140180,1.144910,0.013480,80.477010,1.138200,1.151710,0.011210,80.397780,1.217290,1.186950,0.003920,80.588820,1.752910,1.646010,0.006770,80.531390,6.621830,6.505320,0.007980,80.656550,72.575500,72.417340,
"Rainbow-Vc-Cyclic",0.021680,3226.847390,19.428040,22.900430,0.026430,3227.550620,19.370660,22.916430,0.026060,3226.684390,19.385340,22.856750,0.025170,3227.492180,19.411730,22.918710,0.026130,3228.782610,19.448290,22.979170,0.024950,3241.523700,19.527440,23.003960,0.024520,3230.487150,19.532770,23.021850,0.022160,3231.178870,20.756570,24.100190,0.008070,3298.209200,31.949240,35.345460,0.018090,3325.348520,158.518520,161.990610,
