Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"DILITHIUM_2",0.000810,0.098090,0.085690,0.027540,0.000990,0.100030,0.096180,0.027470,0.001100,0.098740,0.094810,0.027630,0.001100,0.100110,0.105350,0.028650,0.001280,0.097810,0.112530,0.031110,0.000700,0.099010,0.135210,0.059880,0.001130,0.102280,0.419120,0.348430,0.002980,0.116380,3.318070,3.250180,0.005310,0.132890,32.578050,32.497280,0.006300,0.134330,341.764390,341.997780,
"DILITHIUM_3",0.000710,0.112510,0.129260,0.039670,0.000620,0.110600,0.129280,0.039540,0.000620,0.110100,0.155960,0.039370,0.000590,0.109700,0.132400,0.039800,0.000680,0.116640,0.143240,0.042990,0.000920,0.118590,0.172220,0.073370,0.001230,0.115190,0.456210,0.360520,0.002360,0.129940,3.365460,3.250400,0.005740,0.145810,32.581450,32.440600,0.009530,0.151850,341.831610,341.439150,
"DILITHIUM_4",0.002600,0.127230,0.133910,0.055880,0.002520,0.127630,0.147090,0.055510,0.002270,0.126730,0.136680,0.054880,0.002220,0.126420,0.134410,0.055610,0.002020,0.127170,0.140700,0.057870,0.000760,0.125650,0.176130,0.087180,0.001180,0.129390,0.461420,0.377100,0.002630,0.140360,3.370430,3.259180,0.005600,0.156460,32.731030,32.504840,0.010790,0.163580,342.689670,341.399030,
"Falcon-512",0.002790,13.028680,3.952990,0.042840,0.002680,13.134840,3.946310,0.042050,0.002370,12.819990,3.934290,0.042570,0.002420,12.712400,3.953300,0.042820,0.002170,13.472250,3.934610,0.045170,0.002410,12.671240,3.979940,0.074540,0.002730,13.564860,4.315730,0.370420,0.003330,13.184280,7.237260,3.281380,0.005850,13.798700,36.600220,32.609600,0.007340,13.502330,346.479580,342.442390,
"Falcon-1024",0.003540,36.940900,8.443250,0.082050,0.003120,39.028990,8.490400,0.081590,0.002630,39.393050,8.427730,0.081550,0.003010,39.644880,8.455420,0.082470,0.003040,36.010760,8.460600,0.085430,0.002900,36.995180,8.485160,0.115950,0.002830,34.929690,8.768730,0.404890,0.003510,36.722830,11.720600,3.310330,0.006240,38.571180,41.010930,32.651810,0.007170,38.518300,350.620880,342.115700,
"Rainbow-Ia-Cyclic",0.004240,89.343280,1.120810,1.292480,0.004200,89.573220,1.162890,1.295840,0.004100,89.356510,1.135700,1.289500,0.003770,89.216800,1.131440,1.283160,0.017220,89.544500,1.164650,1.288090,0.015260,89.417720,1.157200,1.291960,0.006860,89.326900,1.214860,1.339060,0.003590,89.443500,1.725290,1.801230,0.006180,89.417810,6.638360,6.672090,0.017900,89.521690,72.551530,72.664840,
"Rainbow-Ia-Classic",0.014380,80.568920,1.143230,1.138850,0.014710,80.723490,1.192990,1.147770,0.014390,80.515040,1.135010,1.137410,0.013860,80.670990,1.123820,1.135600,0.013770,80.558920,1.140750,1.145700,0.013230,80.448750,1.145220,1.147970,0.011620,80.616740,1.204860,1.189970,0.003770,80.674150,1.769980,1.650900,0.006170,80.460310,6.655230,6.515080,0.008350,80.460020,72.424570,72.261050,
"Rainbow-Vc-Cyclic",0.020990,3225.824450,19.346550,22.903100,0.025850,3226.397480,19.355200,22.877310,0.025470,3224.525160,19.338090,22.834400,0.025100,3223.746130,19.404470,22.839870,0.025070,3225.464170,19.369390,22.896460,0.024710,3227.297750,19.479560,22.891460,0.024940,3226.230470,19.509470,22.996630,0.022460,3226.742030,20.701890,24.096300,0.007670,3225.541910,31.309590,34.445840,0.016520,3227.209320,152.718600,156.444090,
