Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"DILITHIUM_2",0.001430,0.098410,0.081650,0.025920,0.000960,0.095330,0.094210,0.026250,0.001040,0.094820,0.091470,0.025900,0.000980,0.095660,0.102210,0.026370,0.001100,0.095060,0.094150,0.028720,0.000680,0.095930,0.135290,0.057620,0.001000,0.098270,0.406730,0.335790,0.001880,0.104770,3.211850,3.159950,0.005220,0.127250,31.927770,31.820970,0.005690,0.129240,336.102930,336.225490,
"DILITHIUM_3",0.000650,0.110560,0.143550,0.038730,0.000700,0.108310,0.135660,0.038400,0.000620,0.108950,0.146660,0.038260,0.000800,0.123340,0.136000,0.041010,0.000720,0.124190,0.133480,0.043790,0.000680,0.111630,0.175530,0.071360,0.001100,0.110940,0.452240,0.353610,0.002090,0.116580,3.257360,3.153660,0.005200,0.139170,32.118280,32.005730,0.008680,0.142720,335.255210,335.624010,
"DILITHIUM_4",0.002960,0.132140,0.151030,0.055980,0.002320,0.136830,0.145960,0.056330,0.002110,0.127460,0.135740,0.055310,0.002120,0.124050,0.151720,0.055700,0.002220,0.124260,0.130570,0.057560,0.000790,0.122590,0.172680,0.086590,0.001230,0.127670,0.455210,0.371550,0.001920,0.135020,3.300840,3.220110,0.005140,0.154580,31.994350,31.913180,0.010040,0.159150,335.195310,335.075620,
"Falcon-512",0.001790,12.698260,3.846580,0.039950,0.001760,12.453960,3.864250,0.040750,0.001430,11.911830,3.843650,0.040750,0.001640,13.404270,3.853290,0.041240,0.001570,12.159490,3.844900,0.043570,0.001820,12.647160,3.883540,0.072460,0.001740,12.480220,4.159910,0.354660,0.002240,12.645230,7.024110,3.187370,0.005240,13.296200,35.690740,31.832110,0.006560,12.636830,339.056590,335.283460,
"Falcon-1024",0.002640,36.824370,8.244580,0.078080,0.002600,37.529900,8.262310,0.079560,0.002200,36.873540,8.261500,0.078440,0.002290,39.601610,8.248540,0.079040,0.002370,36.189190,8.243520,0.082140,0.002290,38.745590,8.277100,0.110390,0.002750,37.551870,8.570850,0.393740,0.002740,37.933340,11.449250,3.221140,0.005840,37.187350,40.212310,31.937620,0.006550,39.031470,343.337450,335.095460,
"Rainbow-Ia-Cyclic",0.004660,87.508370,1.099180,1.256510,0.003960,87.478100,1.141930,1.245310,0.003930,87.475360,1.112210,1.247170,0.003470,87.095300,1.113110,1.251080,0.012810,87.441580,1.132020,1.251750,0.013110,87.419790,1.111180,1.261560,0.005740,87.483250,1.208610,1.306860,0.003240,87.381730,1.720040,1.754150,0.005540,87.557450,6.494100,6.491140,0.016170,87.791700,71.302730,70.798370,
