Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"DILITHIUM_2",0.000770,0.099370,0.094570,0.027420,0.001160,0.099100,0.104460,0.027560,0.001420,0.099600,0.097280,0.027620,0.001080,0.098420,0.107900,0.027290,0.001280,0.099410,0.106740,0.030660,0.000670,0.097010,0.127320,0.058440,0.001120,0.102570,0.422150,0.344750,0.002690,0.116360,3.329920,3.239280,0.005010,0.131940,32.692580,32.510600,0.005810,0.136520,342.478600,342.230870,
"DILITHIUM_3",0.000750,0.112300,0.147770,0.040390,0.000590,0.112690,0.133850,0.039550,0.000810,0.114600,0.145550,0.040440,0.000670,0.118140,0.139550,0.041390,0.000720,0.114150,0.138780,0.043000,0.000830,0.111950,0.177880,0.071610,0.001180,0.113730,0.447140,0.361960,0.002590,0.128090,3.359630,3.255210,0.005270,0.147760,32.689090,32.614930,0.008980,0.151140,342.230890,342.215710,
"DILITHIUM_4",0.002610,0.129170,0.149850,0.055630,0.002150,0.126610,0.149240,0.054790,0.002130,0.127150,0.123740,0.055420,0.002410,0.126230,0.146270,0.056200,0.002020,0.125940,0.133390,0.057160,0.000710,0.126670,0.172990,0.086430,0.001180,0.130410,0.455910,0.373560,0.002700,0.148610,3.383020,3.281120,0.005290,0.160430,32.639130,32.508380,0.010880,0.163250,341.870040,341.828150,
"Falcon-512",0.002520,12.775490,3.936030,0.041850,0.002380,13.611260,3.945930,0.042020,0.002180,12.914860,3.950120,0.043020,0.002230,12.954080,3.959260,0.042970,0.002150,13.043490,3.961160,0.045910,0.002180,13.279310,3.975870,0.074500,0.002370,13.174660,4.281310,0.367650,0.002940,13.497930,7.211370,3.255460,0.005590,13.390960,36.493170,32.551120,0.006800,13.884920,345.813760,341.885780,
"Falcon-1024",0.003170,36.685040,8.465570,0.081890,0.002750,39.208940,8.436580,0.082260,0.002510,40.198770,8.467010,0.082650,0.002530,37.541520,8.446280,0.082310,0.002460,38.458680,8.429690,0.085370,0.002540,37.370570,8.466090,0.115130,0.002880,40.633990,8.807070,0.407500,0.003290,38.104060,11.731200,3.330720,0.006160,38.254700,40.960970,32.573930,0.006680,37.310400,350.477560,342.344110,
"Rainbow-Ia-Cyclic",0.004140,89.402930,1.138810,1.281820,0.004110,89.500380,1.160090,1.283910,0.003840,89.412980,1.119500,1.282270,0.003200,89.266810,1.150990,1.280940,0.016310,89.348240,1.138590,1.279760,0.014760,89.616530,1.145230,1.287760,0.006630,89.417580,1.195440,1.331680,0.003120,89.304190,1.725750,1.791660,0.005840,89.222260,6.622850,6.632460,0.016310,89.500740,72.358730,72.526810,
"Rainbow-Ia-Classic",0.014730,80.660010,1.113650,1.140430,0.013900,80.577030,1.143800,1.127150,0.013550,80.502850,1.162230,1.132010,0.013730,80.614450,1.162120,1.139340,0.013410,80.582390,1.158370,1.134680,0.013500,80.406130,1.141250,1.144260,0.012780,80.650680,1.215460,1.203470,0.003510,80.416020,1.754430,1.644710,0.005940,80.614950,6.658070,6.531750,0.007350,80.655020,72.534110,72.418640,
"Rainbow-Vc-Cyclic",0.020500,3226.473010,19.444970,22.839420,0.025770,3231.170230,19.377630,22.989370,0.024650,3230.759730,19.390600,22.908830,0.024640,3229.772370,19.394250,22.893210,0.023380,3167.922700,18.957040,22.384420,0.022900,3186.567410,19.230290,22.594580,0.023540,3176.151390,19.160240,22.644360,0.020770,3156.887440,20.228850,23.460240,0.006890,3161.226220,30.738010,33.874970,0.015330,3152.445640,150.099070,153.394470,
