Same Time (ms),Diff Time (ms),
0.001117,0.000716,
0.001088,0.000706,
0.001040,0.000713,
0.001131,0.000686,
0.001102,0.000709,
0.001054,0.000691,
0.001105,0.000719,
0.001077,0.000690,
0.001031,0.000697,
0.001109,0.000737,
