Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"DILITHIUM_2",0.001120,0.098440,0.096670,0.027420,0.001190,0.097580,0.096940,0.027100,0.001240,0.098360,0.106720,0.027380,0.001130,0.096500,0.090430,0.027730,0.001060,0.097520,0.100640,0.030720,0.000670,0.096170,0.128210,0.057870,0.001210,0.099550,0.415280,0.338180,0.001870,0.105050,3.233610,3.157920,0.005270,0.127200,32.026680,31.954500,0.006220,0.128390,335.468420,334.586260,
"DILITHIUM_3",0.000930,0.110350,0.130340,0.039230,0.000910,0.143460,0.123430,0.040400,0.000780,0.154270,0.150780,0.040200,0.000700,0.117120,0.137910,0.039810,0.000770,0.110170,0.115860,0.041970,0.000780,0.110500,0.169380,0.071520,0.001180,0.116410,0.457240,0.360390,0.001900,0.117490,3.290680,3.188050,0.005400,0.141930,32.019710,31.887900,0.006620,0.141220,334.642110,335.198380,
"DILITHIUM_4",0.000920,0.131520,0.139930,0.055550,0.000900,0.124580,0.147910,0.054600,0.000740,0.123170,0.129500,0.053580,0.001010,0.134040,0.146890,0.059170,0.000710,0.134010,0.140140,0.058700,0.000820,0.123180,0.157120,0.085450,0.001210,0.126720,0.450670,0.368480,0.001860,0.132250,3.275930,3.202110,0.005290,0.154390,32.039500,31.921020,0.010940,0.156010,336.867620,336.798870,
"Falcon-512",0.001710,12.917650,3.840210,0.040930,0.001760,12.849430,3.857720,0.041130,0.001750,12.872490,3.870720,0.041400,0.001660,13.498290,3.854880,0.040860,0.001540,12.582350,3.883550,0.043990,0.001700,12.234930,3.874690,0.071930,0.001750,12.948320,4.168410,0.355300,0.002580,14.064070,7.099670,3.213350,0.006040,13.722670,37.310330,33.240460,0.006830,12.540080,346.586590,342.952990,
"Falcon-1024",0.002890,36.726430,8.295620,0.079790,0.002620,37.398130,8.269790,0.078910,0.002380,38.938750,8.275190,0.078880,0.002380,36.809970,8.242330,0.079120,0.002600,36.217010,8.265000,0.082450,0.002540,36.401510,8.301220,0.109740,0.002520,37.503360,8.595360,0.395470,0.002940,36.889630,11.442910,3.219640,0.005690,39.079180,40.202050,31.951570,0.006680,37.531550,343.808530,335.460360,
"Rainbow-Ia-Cyclic",0.004250,87.409410,1.108330,1.254460,0.004170,87.737340,1.113830,1.268900,0.004240,87.760420,1.109920,1.257110,0.003630,87.721150,1.104310,1.262730,0.013210,87.800010,1.128390,1.261440,0.013320,87.752720,1.122180,1.258910,0.005950,87.638550,1.184100,1.307820,0.003580,87.478410,1.699990,1.748750,0.005760,87.742550,6.506530,6.493590,0.016630,87.616000,70.883400,70.720690,
"Rainbow-Ia-Classic",0.013480,78.855520,1.170640,1.114790,0.013320,78.983680,1.129610,1.117860,0.014960,81.853680,1.161650,1.165840,0.012980,81.752330,1.186150,1.151030,0.013270,81.627580,1.159200,1.152760,0.012900,81.540850,1.150720,1.165550,0.011390,81.664850,1.220010,1.211080,0.003710,81.875790,1.768280,1.670920,0.006110,81.706960,6.805050,6.619300,0.008060,81.647020,73.621390,73.411480,
"Rainbow-Vc-Cyclic",0.021470,3268.471760,19.697240,23.176390,0.024720,3226.294400,19.378460,22.877280,0.024830,3230.401190,19.387760,22.877800,0.025040,3246.568860,19.556480,23.001430,0.025060,3243.569980,19.625600,22.976000,0.024910,3229.792220,19.364810,22.875040,0.025320,3228.605710,19.542310,23.113640,0.022500,3226.100370,20.676160,24.112610,0.007610,3229.913160,31.318240,34.599010,0.016540,3229.038250,153.058900,156.512590,
