Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"DILITHIUM_2",0.000990,0.097290,0.104930,0.026390,0.000980,0.096590,0.110600,0.027510,0.001070,0.095650,0.096510,0.026620,0.001270,0.096010,0.094620,0.027380,0.001020,0.096440,0.108250,0.029660,0.000660,0.096100,0.131620,0.058440,0.001080,0.099490,0.415210,0.338660,0.001910,0.108080,3.223840,3.163780,0.004970,0.126120,31.694720,31.611220,0.005700,0.128740,333.788780,333.268280,
"DILITHIUM_3",0.000720,0.110430,0.128310,0.039010,0.000720,0.119240,0.129240,0.040180,0.000650,0.111610,0.133010,0.039040,0.000600,0.108260,0.151910,0.038550,0.000580,0.107150,0.132670,0.041120,0.000790,0.108270,0.165490,0.068780,0.001130,0.110290,0.440900,0.348010,0.001800,0.120880,3.247350,3.147390,0.005200,0.140390,31.722790,31.587910,0.008490,0.144740,336.004410,335.868760,
"DILITHIUM_4",0.002220,0.125110,0.132870,0.054210,0.002680,0.135410,0.143180,0.058530,0.002300,0.127480,0.144050,0.056310,0.002170,0.125440,0.138260,0.055440,0.002230,0.123370,0.140520,0.057470,0.000670,0.123710,0.171260,0.084860,0.001200,0.125760,0.449490,0.368520,0.001930,0.134170,3.296600,3.205870,0.005050,0.153460,32.074930,31.958750,0.009960,0.159830,336.311230,336.315630,
"Falcon-512",0.001730,12.607000,3.876440,0.040670,0.001880,12.878330,3.857270,0.040330,0.001570,12.991130,3.860230,0.040340,0.001620,12.855260,3.863250,0.040990,0.001620,12.378200,3.862260,0.044520,0.001610,13.008170,3.912880,0.073660,0.001820,13.174760,4.201150,0.357050,0.002370,12.533290,7.043480,3.204080,0.005410,13.455240,35.764230,31.931940,0.006100,13.530840,340.227220,336.305610,
"Falcon-1024",0.002630,37.177630,8.251110,0.078620,0.002320,34.833110,8.242460,0.078870,0.002190,36.532910,8.253810,0.079100,0.002170,36.788560,8.259420,0.079280,0.002240,38.295710,8.258680,0.081910,0.002170,37.751950,8.272280,0.109480,0.002470,38.367020,8.559390,0.393080,0.002830,38.272570,11.436580,3.223350,0.005440,37.636650,40.301260,32.014440,0.006310,36.959500,344.263350,336.019410,
"Rainbow-Ia-Cyclic",0.004230,87.397270,1.108560,1.247560,0.003940,87.261530,1.108200,1.246710,0.003850,87.174130,1.134080,1.248250,0.003180,87.210620,1.135230,1.252990,0.013050,87.332470,1.106110,1.254470,0.012920,87.225090,1.103620,1.248440,0.005920,87.420320,1.196530,1.300590,0.003150,87.346750,1.686600,1.754030,0.005260,87.582400,6.521090,6.550340,0.016990,87.480230,71.243000,71.007590,
"Rainbow-Ia-Classic",0.013260,78.619320,1.099230,1.113860,0.013510,78.836420,1.130640,1.109720,0.012500,78.625730,1.110740,1.109280,0.012900,78.697250,1.130130,1.115950,0.012190,78.487780,1.138100,1.105220,0.012640,78.637560,1.123980,1.130130,0.010470,78.641480,1.169820,1.155780,0.003370,78.730890,1.719500,1.610280,0.005390,78.670540,6.580280,6.323560,0.007230,78.695730,72.189940,71.612900,
"Rainbow-Vc-Cyclic",0.020250,3153.918090,18.985390,22.321430,0.023420,3156.256280,18.976210,22.334660,0.023110,3148.569400,18.894140,22.266360,0.022750,3145.676290,18.877740,22.268440,0.022530,3148.879440,18.889590,22.297470,0.023060,3151.016420,18.907820,22.350310,0.023130,3150.185410,18.988520,22.408090,0.020340,3150.095140,20.367800,23.447170,0.006850,3147.542990,31.146840,33.581990,0.015000,3146.761560,150.070180,152.787520,
