Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"DILITHIUM_2",0.001350,0.103350,0.089020,0.030000,0.001520,0.102370,0.102490,0.028900,0.001230,0.103100,0.110220,0.028460,0.001810,0.101610,0.104170,0.029050,0.001320,0.102950,0.099530,0.031760,0.000790,0.100390,0.136420,0.060980,0.001390,0.107210,0.428360,0.353580,0.004560,0.131800,3.444200,3.365170,0.006150,0.142930,33.585200,33.509830,0.007740,0.156680,355.024720,354.678530,
"DILITHIUM_3",0.001040,0.120940,0.142640,0.041150,0.000900,0.115510,0.147640,0.040420,0.000790,0.113770,0.141270,0.039800,0.001070,0.118290,0.130910,0.041210,0.000820,0.117740,0.151690,0.044050,0.000860,0.120440,0.175520,0.073870,0.001270,0.119370,0.472970,0.369940,0.005250,0.149520,3.535150,3.404130,0.006440,0.154610,33.815680,33.687470,0.008170,0.164980,355.270670,355.445730,
"DILITHIUM_4",0.000970,0.130990,0.147230,0.056320,0.000940,0.131270,0.153650,0.056450,0.000570,0.130620,0.136360,0.056800,0.000740,0.130120,0.140800,0.057090,0.000760,0.134220,0.146420,0.061510,0.000980,0.142890,0.176230,0.092690,0.001310,0.133210,0.484920,0.388770,0.004850,0.161320,3.493870,3.408720,0.006420,0.168450,33.831540,33.706820,0.012900,0.178090,354.356390,355.124420,
"Falcon-512",0.003490,12.680650,4.073560,0.045690,0.003430,13.522090,4.086560,0.046080,0.003190,14.379850,4.091210,0.046240,0.003220,14.652650,4.082350,0.047010,0.003540,13.357400,4.123680,0.050940,0.003030,13.308060,4.139040,0.080280,0.003060,13.619820,4.431640,0.384030,0.005230,13.916600,7.533600,3.440420,0.006370,14.185040,37.683980,33.631810,0.008010,13.584590,358.391210,354.494570,
"Falcon-1024",0.004200,38.684110,8.765910,0.088290,0.005170,42.093310,8.729120,0.086710,0.003330,41.500460,8.751850,0.086030,0.003200,42.164570,8.689370,0.086640,0.003440,41.274680,8.725330,0.090330,0.003430,40.323270,8.747540,0.121640,0.003380,38.463430,9.098690,0.424830,0.005870,41.059780,12.163180,3.466840,0.006640,42.037320,42.390620,34.104680,0.007880,37.169260,363.138560,354.422660,
"Rainbow-Ia-Cyclic",0.005190,91.602130,1.160020,1.317650,0.004860,91.966430,1.152660,1.321050,0.004390,91.444810,1.153190,1.311210,0.003740,90.575560,1.154090,1.303570,0.016110,89.916070,1.130410,1.299100,0.014580,89.885140,1.185810,1.300020,0.008410,91.297060,1.275140,1.370680,0.003730,90.298960,1.730370,1.818620,0.006490,90.044540,6.656350,6.774040,0.017750,90.280320,73.245780,73.335060,
"Rainbow-Ia-Classic",0.015400,81.435640,1.183360,1.158110,0.014750,81.231310,1.143580,1.151570,0.015030,81.254610,1.132330,1.145750,0.013460,81.055030,1.149630,1.161630,0.014740,81.236630,1.138390,1.160380,0.013480,81.085140,1.155460,1.165690,0.012290,81.172350,1.211390,1.207160,0.004150,81.244760,1.787740,1.661820,0.006190,81.195810,6.661970,6.585930,0.008260,81.465090,73.300260,73.370690,
"Rainbow-Vc-Cyclic",0.022070,3254.942870,19.610430,23.080790,0.024770,3252.789610,19.606430,23.058900,0.024830,3250.951900,19.525000,23.048990,0.024790,3238.364420,19.440200,22.932140,0.024500,3229.402290,19.394310,22.927800,0.024180,3232.549090,19.430010,22.967100,0.024660,3228.763370,19.539810,23.009050,0.022700,3227.313000,20.735540,24.073260,0.007400,3225.357760,31.339870,34.474880,0.016400,3226.958410,152.918410,156.551520,
