Name,Sign L0,Verify L0,Sign L1,Verify L1,Sign L10,Verify L10,Sign L100,Verify L100,Sign L1000,Verify L1000,Sign L10000,Verify L10000,Sign L100000,Verify L100000,Sign L1000000,Verify L1000000,Sign L10000000,Verify L10000000,Sign L100000000,Verify L100000000
DILITHIUM_2,0.098677,0.02621,0.103093,0.02644,0.099297,0.02661,0.101377,0.027117,0.101673,0.029823,0.124873,0.057513,0.414653,0.34305,3.25574,3.173583,31.447783,31.365647,330.94309,330.767993
DILITHIUM_4,0.138083,0.063697,0.140257,0.063387,0.147743,0.06346,0.13588,0.06371,0.15088,0.06672,0.17264,0.094197,0.445873,0.374023,3.235447,3.16088,31.36907,31.27763,329.75215,329.835053
Falcon-512,3.772553,0.039583,3.773553,0.03946,3.780177,0.039573,3.769657,0.039933,3.777307,0.042747,3.79897,0.070473,4.086003,0.34729,6.874377,3.117353,34.964123,31.184113,333.491263,329.76717
Falcon-1024,8.08278,0.076293,8.08664,0.076567,8.09468,0.076937,8.068487,0.076667,8.074387,0.079443,8.111937,0.10728,8.38977,0.383103,11.193433,3.155827,39.273447,31.172697,337.483633,329.361773
Rainbow-Ia-Cyclic,1.09718,1.23006,1.087547,1.227137,1.080183,1.227577,1.095603,1.231023,1.104627,1.22851,1.094617,1.231727,1.162683,1.276083,1.632433,1.71144,6.27393,6.329423,69.496207,69.4539
Rainbow-Vc-Cyclic,18.62362,21.977703,18.62422,21.96925,18.604247,21.945643,18.64726,21.974023,18.618483,21.964893,18.620793,21.98751,18.744353,22.0556,19.892177,23.066033,30.141053,33.11888,147.776767,150.83825
